idCliente;nombre;direccion;email;nombreDeUsuario;contrasena
282;Camden Bowen;192-6492 Vitae Road;Sed@Alim.co;Shellie;mauris
284;Damon Green;2842 Enim Street;semper.dui@et.com;Stuart;dapibus
274;Cullen Reyes;723 Lobortis Avenue;tellus.id@pe.net;Reece;primis
322;Melyssa Shields;4421 Tellus Av.;tellus@dio.uk;Griffin;orci
336;Gay Horn;115-788 Et Rd.;ut.cursus@Pe.edu;Castor;id,
281;Unity Mcclure;Ap #6691 Magna, Aven;vehicula@moo.uk;Oliver;nunc
285;Chadwick Cruz;Ap #7218 Dapibus Roa;a@velit.net;Lani;tempor
255;Harriet Wagner;P.O. Box 905;sed@nec.edu;Keely;lobortis
310;Micah Horn;470-1192 Eu Ave;Proin@quama.ca;Sawyer;morbi
261;Vernon Ellison;P.O. Box 275;Morbi@mollis.ca;Blake;Fusce
302;Hamish Sawyer;8167 Fringilla, St;orci@Nunc.co.uk;Thane;rutrum.
312;Finn Todd;P.O. Box 296;primis.in@ac.edu;Camden;lobortis
279;Oprah Silva;P.O. Box 719;eleifend@Sed.org;Kirk;feugiat
258;Keith Dean;460 Egestas, Av.;a.dui@auctor.org;Allen;a,
263;Michael Becker;Ap #9929 Semper Rd.;venenatis@non.com;Abbot;non
298;Katelyn Webb;P.O. Box 351;lectus@ligula.com;James;euismod
280;James Sullivan;3978 Metus. Ave;tellus@rutrum.org;Carl;at
326;Leah Goff;P.O. Box 756;ipsum.ac@semut.net;Calvin;interdum
259;Serina Ewing;5301 Sed, Rd.;sodales@aliquet.ca;Oleg;nibh.
299;Adrienne Mullen;437 Neque. Avenue;eu@elitpharetra.ca;Timothy;neque.
304;Jesse Chen;3555 Duis Road;facilisis@risus.org;Belle;eget,
252;Felix Guerra;4383 Vulputate, Ave;egestas@enimsit.org;Rose;erat
325;Leonard Manning;Ap #7333 Aliquam Rd.;Nunc.mauris@velco.u;Elton;convallis
324;Nyssa Petersen;P.O. Box 899;senectus.et@daps.co;Anika;posuere
321;Brittany Levine;600-1525 Ac Street;dolor.Fusce@Alic.or;Arthur;Nunc
335;Jordan Lambert;Ap #3782 Ante Avenue;ut.eros.non@Inlco.u;Valentine;Phasellus
307;Forrest Jordan;870-1955 Ante Rd.;vitae.risus@molco.u;Giacomo;adipiscing
345;Denton Gomez;Ap #2228 Et St.;amet.dapibus@di.net;Chastity;in
305;Steel Murphy;Ap #108 Tincidunt Av;lacinia.orci@eu.com;Derek;consequat
288;Harper Cherry;629-3060 Nunc Rd.;tempus.lorem@ac.edu;Abbot;lectus
341;Orlando Baker;P.O. Box 472;Aliquam.erat@mam.ca;Kitra;enim,
316;Kristen Higgins;P.O. Box 563;sollicitudin@Nunc.ne;Susan;enim.
309;Cora Vaughn;Ap #3168 Curabitur S;consectetuer@ipsm.or;Naida;dictum
301;Camden Horne;P.O. Box 692;Sed.molestie@cuba.co;Armand;senectus
287;Alyssa Alston;4461 Vitae Av.;pellentesque@Dont.ne;Jasper;Morbi
269;Bianca Vasquez;6754 Eu Avenue;egestas.urna@tinco.u;Grady;tempus
331;Zenia Velazquez;P.O. Box 757;at.fringilla@nism.or;Keith;lectus
292;Caesar Fulton;4073 Nec Avenue;purus.Nullam@liga.ne;Vanna;facilisi.
289;Jaquelyn Cooke;Ap #7590 Pede. Rd.;tincidunt.dui@vo.org;Lionel;nisi
293;Isadora Colon;P.O. Box 289;pulvinar.arcu@mao.uk;Dalton;tincidunt,
342;Meghan Ramsey;P.O. Box 373;viverra.Donec@Ino.uk;Ashton;sodales
315;Dylan Flowers;7926 Cras Ave;vitae.sodales@tr.net;Caldwell;sem
250;Todd Barlow;4389 Nisl Rd.;ultricies@eg.edu;Hasad;nunc
319;Carter Walls;931 Vel, Avenue;erat@Na.org;Eve;non
256;Nicole Waller;Ap #7950 Id Ave;mattis@in.net;Kim;id
265;Mary Cooper;P.O. Box 883;purus@se.org;Debra;mollis
262;Dominic Gibson;P.O. Box 422;purus@te.edu;Jeremy;a
347;Holmes Zamora;813-6630 Proin Rd.;facilisis@te.com;Melyssa;at
314;Keith Pitts;3019 Consectuer Road;euismod@Fuo.uk;Wylie;libero
306;Arthur Cox;P.O. Box 232;adipiscing@he.edu;Lunea;interdum.
